epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,96.4394,1.05868,0.87313,1.00399,0.99634,1,0.995,0.69345,1.07248,0.96062,1.09215,0.000717875,0.000717875,0.000717875
45,97.9404,1.05379,0.86392,1.0356,0.99758,1,0.995,0.71626,1.06573,0.89618,1.09837,0.0007055,0.0007055,0.0007055
46,99.6017,1.07241,0.88646,0.99652,0.9971,1,0.995,0.74621,1.03399,0.88969,1.07999,0.000693125,0.000693125,0.000693125
47,100.985,0.96724,0.91839,0.98257,0.9961,1,0.995,0.71756,1.04068,0.92766,1.08252,0.00068075,0.00068075,0.00068075
48,102.516,0.97366,0.76862,0.99517,0.99522,1,0.995,0.70788,1.03441,0.92427,1.07189,0.000668375,0.000668375,0.000668375
49,104.068,1.04733,0.84679,0.98774,0.99627,1,0.995,0.71741,1.01694,0.87974,1.06909,0.000656,0.000656,0.000656
50,105.497,1.00268,0.79115,1.02653,0.99636,1,0.995,0.7137,1.02243,0.85627,1.05147,0.000643625,0.000643625,0.000643625
51,107.2,0.98277,0.81017,0.99141,0.99665,1,0.995,0.73188,0.96573,0.80718,1.04047,0.00063125,0.00063125,0.00063125
52,109.363,1.06955,0.88763,1.035,0.99632,1,0.995,0.72255,0.94665,0.78007,1.03312,0.000618875,0.000618875,0.000618875
53,111.217,0.95899,0.79381,1.00945,0.99665,1,0.995,0.7317,0.9381,0.73556,1.03512,0.0006065,0.0006065,0.0006065
54,112.846,0.95575,0.80205,0.98615,0.99687,1,0.995,0.71816,0.93398,0.6761,1.03465,0.000594125,0.000594125,0.000594125
55,114.342,0.94078,0.72639,0.97864,0.99762,1,0.995,0.69939,0.98421,0.66218,1.0411,0.00058175,0.00058175,0.00058175
56,115.819,1.04835,0.82114,1.03643,0.99739,1,0.995,0.68379,0.99196,0.68422,1.03955,0.000569375,0.000569375,0.000569375
57,117.234,0.98458,0.77939,1.01945,0.99702,1,0.995,0.70287,0.9942,0.73412,1.02987,0.000557,0.000557,0.000557
58,118.822,1.01803,0.79639,1.01085,0.99674,1,0.995,0.69816,1.00438,0.85124,1.02702,0.000544625,0.000544625,0.000544625
59,120.428,0.98299,0.81744,0.98166,0.99712,1,0.995,0.71821,1.00998,0.81542,1.03306,0.00053225,0.00053225,0.00053225
60,122.396,1.00437,0.75514,0.97538,0.99609,1,0.995,0.7168,0.99896,0.64026,1.04748,0.000519875,0.000519875,0.000519875
61,124.626,1.00195,0.87689,1.01373,0.99851,1,0.995,0.72699,0.95658,0.58522,1.04646,0.0005075,0.0005075,0.0005075
62,126.278,0.96289,0.71392,0.97958,0.99854,1,0.995,0.72886,0.94538,0.57375,1.04057,0.000495125,0.000495125,0.000495125
63,127.709,0.97655,0.73385,0.98448,0.99853,1,0.995,0.73706,0.96311,0.5884,1.04685,0.00048275,0.00048275,0.00048275
64,129.353,1.01019,0.76742,1.02991,0.99854,1,0.995,0.70832,1.03934,0.59003,1.08826,0.000470375,0.000470375,0.000470375
65,130.758,0.94529,0.71783,0.97913,0.99852,1,0.995,0.71806,1.04107,0.60818,1.092,0.000458,0.000458,0.000458
66,132.292,0.96158,0.71058,0.98992,0.99848,1,0.995,0.73228,0.98267,0.59133,1.04647,0.000445625,0.000445625,0.000445625
