epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
45,83.2718,1.08611,0.762,1.0583,0.99853,1,0.995,0.70981,0.97267,0.5739,1.08129,0.0007055,0.0007055,0.0007055
46,85.5422,1.10519,0.76641,1.0203,0.99864,1,0.995,0.72132,0.93204,0.55172,1.06854,0.000693125,0.000693125,0.000693125
47,87.0504,1.03446,0.81837,1.02509,0.99857,1,0.995,0.7328,0.92844,0.54564,1.06341,0.00068075,0.00068075,0.00068075
48,88.626,1.01695,0.70116,1.03973,0.99845,1,0.995,0.73413,0.94647,0.56021,1.05796,0.000668375,0.000668375,0.000668375
49,90.2754,1.09309,0.75356,1.03746,0.99841,1,0.995,0.74252,0.91718,0.55832,1.04528,0.000656,0.000656,0.000656
50,91.8779,1.00006,0.7112,1.02719,0.99828,1,0.995,0.74025,0.90892,0.55982,1.04212,0.000643625,0.000643625,0.000643625
51,93.4319,0.99394,0.69042,1.00439,0.99836,1,0.995,0.71819,0.93846,0.54067,1.04422,0.00063125,0.00063125,0.00063125
52,95.3619,1.10296,0.76873,1.04523,0.99838,1,0.995,0.72212,0.97821,0.53996,1.05367,0.000618875,0.000618875,0.000618875
53,97.8747,0.98982,0.69863,1.04676,0.99835,1,0.995,0.73351,0.96223,0.54395,1.04692,0.0006065,0.0006065,0.0006065
54,99.8768,0.95887,0.69403,0.99882,0.99839,1,0.995,0.75003,0.96209,0.54774,1.05404,0.000594125,0.000594125,0.000594125
55,101.497,1.02587,0.68767,1.0073,0.99845,1,0.995,0.75181,0.9422,0.53428,1.05049,0.00058175,0.00058175,0.00058175
56,103.173,1.04963,0.7837,1.06387,0.99859,1,0.995,0.74614,0.91395,0.51268,1.03598,0.000569375,0.000569375,0.000569375
57,104.915,1.02317,0.70849,1.04523,0.99858,1,0.995,0.7546,0.92349,0.50948,1.03516,0.000557,0.000557,0.000557
58,106.395,1.01302,0.73386,1.02806,0.99853,1,0.995,0.74743,0.94758,0.50724,1.03292,0.000544625,0.000544625,0.000544625
59,108.022,0.99953,0.70028,1.01743,0.99846,1,0.995,0.75765,0.93971,0.5044,1.03027,0.00053225,0.00053225,0.00053225
60,110.092,1.03729,0.68879,1.00959,0.99816,1,0.995,0.76304,0.92049,0.50601,1.03403,0.000519875,0.000519875,0.000519875
61,112.307,1.02414,0.85641,1.07565,0.99815,1,0.995,0.7521,0.94143,0.50434,1.04852,0.0005075,0.0005075,0.0005075
62,114.471,1.01047,0.67977,1.00808,0.99825,1,0.995,0.75155,0.93055,0.4886,1.04956,0.000495125,0.000495125,0.000495125
63,115.979,1.0199,0.66349,1.02763,0.99826,1,0.995,0.75822,0.92226,0.48822,1.0361,0.00048275,0.00048275,0.00048275
64,117.6,1.03585,0.71627,1.04615,0.99833,1,0.995,0.75803,0.93205,0.49168,1.02752,0.000470375,0.000470375,0.000470375
65,119.178,1.00786,0.66854,1.00221,0.99837,1,0.995,0.75565,0.93631,0.4963,1.02998,0.000458,0.000458,0.000458
66,120.77,1.0192,0.64655,1.03166,0.99845,1,0.995,0.74764,0.94524,0.48891,1.04068,0.000445625,0.000445625,0.000445625
67,122.306,0.9827,0.68967,1.04643,0.99848,1,0.995,0.75425,0.95273,0.4806,1.04964,0.00043325,0.00043325,0.00043325
68,124.005,1.03179,0.72087,1.01235,0.99837,1,0.995,0.74519,0.94894,0.49658,1.05439,0.000420875,0.000420875,0.000420875
69,126.038,1.02477,0.65923,1.00753,0.99833,1,0.995,0.75673,0.9507,0.50398,1.04861,0.0004085,0.0004085,0.0004085
70,128.54,0.96731,0.6711,1.00389,0.99834,1,0.995,0.75556,0.95862,0.51091,1.03798,0.000396125,0.000396125,0.000396125
71,130.359,0.90685,0.63847,0.97544,0.99833,1,0.995,0.74544,0.95314,0.49405,1.03467,0.00038375,0.00038375,0.00038375
72,131.992,0.96269,0.68089,1.00992,0.99823,1,0.995,0.73477,0.98792,0.50248,1.0508,0.000371375,0.000371375,0.000371375
73,133.537,1.0347,0.66583,1.02473,0.99829,1,0.995,0.73372,1.0051,0.49394,1.06419,0.000359,0.000359,0.000359
74,135.213,1.01246,0.63144,1.01381,0.99843,1,0.995,0.74859,0.96887,0.49248,1.05634,0.000346625,0.000346625,0.000346625
75,136.771,0.97915,0.65352,1.00123,0.99847,1,0.995,0.75258,0.93947,0.48567,1.04555,0.00033425,0.00033425,0.00033425
76,138.312,0.96277,0.77798,0.9762,0.99851,1,0.995,0.75119,0.92725,0.4838,1.0375,0.000321875,0.000321875,0.000321875
77,140.708,0.91405,0.6043,0.98578,0.9985,1,0.995,0.74605,0.92578,0.47295,1.03583,0.0003095,0.0003095,0.0003095
78,142.965,1.01028,0.62805,1.03912,0.99843,1,0.995,0.76809,0.9031,0.46413,1.03308,0.000297125,0.000297125,0.000297125
79,144.818,1.06383,0.71307,1.11831,0.9984,1,0.995,0.76499,0.90771,0.46157,1.0419,0.00028475,0.00028475,0.00028475
80,146.404,0.92619,0.6064,0.9599,0.9983,1,0.995,0.77143,0.90562,0.4605,1.04236,0.000272375,0.000272375,0.000272375
81,147.872,1.00978,0.65355,1.01763,0.99834,1,0.995,0.7781,0.90578,0.46534,1.03976,0.00026,0.00026,0.00026
82,149.739,0.88814,0.64347,0.99906,0.9984,1,0.995,0.762,0.91025,0.46368,1.03561,0.000247625,0.000247625,0.000247625
83,151.303,0.96387,0.61924,0.97772,0.99848,1,0.995,0.75386,0.91805,0.46332,1.03725,0.00023525,0.00023525,0.00023525
84,152.932,0.92558,0.58167,0.98311,0.99855,1,0.995,0.75765,0.92433,0.46333,1.04232,0.000222875,0.000222875,0.000222875
85,154.847,0.94008,0.61376,1.00356,0.99855,1,0.995,0.75395,0.93243,0.4593,1.04819,0.0002105,0.0002105,0.0002105
86,157.183,0.93674,0.66788,1.03965,0.99854,1,0.995,0.74508,0.9431,0.46266,1.05132,0.000198125,0.000198125,0.000198125
87,159.315,0.90857,0.61971,0.9834,0.99855,1,0.995,0.74661,0.94563,0.4606,1.04956,0.00018575,0.00018575,0.00018575
88,160.873,0.93823,0.60652,0.96931,0.9985,1,0.995,0.74562,0.93732,0.46111,1.04456,0.000173375,0.000173375,0.000173375
89,162.553,0.94471,0.64451,1.01787,0.99849,1,0.995,0.744,0.92993,0.46175,1.04423,0.000161,0.000161,0.000161
90,164.141,0.95257,0.60925,1.00389,0.99844,1,0.995,0.75489,0.92697,0.45327,1.04448,0.000148625,0.000148625,0.000148625
91,167.818,0.90933,0.67307,0.96829,0.99842,1,0.995,0.75455,0.92735,0.45223,1.04523,0.00013625,0.00013625,0.00013625
92,170.522,0.93552,0.63076,1.0048,0.9984,1,0.995,0.75445,0.93744,0.4439,1.04742,0.000123875,0.000123875,0.000123875
93,173.213,0.91716,0.66225,0.96184,0.9984,1,0.995,0.75394,0.94647,0.45303,1.05145,0.0001115,0.0001115,0.0001115
94,175.048,0.89513,0.6529,0.95233,0.99827,1,0.995,0.75392,0.96618,0.46035,1.05611,9.9125e-05,9.9125e-05,9.9125e-05
95,176.514,0.89181,0.63139,0.98068,0.99827,1,0.995,0.74038,0.97488,0.45914,1.05609,8.675e-05,8.675e-05,8.675e-05
96,178.066,0.89598,0.64226,0.95212,0.99829,1,0.995,0.74974,0.97191,0.46344,1.05025,7.4375e-05,7.4375e-05,7.4375e-05
97,179.611,0.90044,0.62609,0.96949,0.99829,1,0.995,0.74833,0.97033,0.46187,1.04571,6.2e-05,6.2e-05,6.2e-05
98,181.541,0.92521,0.64985,0.95924,0.99831,1,0.995,0.75551,0.95807,0.45988,1.04053,4.9625e-05,4.9625e-05,4.9625e-05
99,183.031,0.88445,0.63365,0.98456,0.99831,1,0.995,0.75532,0.9534,0.46117,1.04094,3.725e-05,3.725e-05,3.725e-05
100,185.288,0.94862,0.67398,1.00222,0.99833,1,0.995,0.75374,0.94397,0.45529,1.0403,2.4875e-05,2.4875e-05,2.4875e-05
